Date/Time,Mouse Position
2023-06-24 01:03:20.755126,"(1038, 330)"
2023-06-24 01:03:20.765125,"(1055, 327)"
2023-06-24 01:03:20.770126,"(1089, 324)"
2023-06-24 01:03:20.778135,"(1107, 321)"
2023-06-24 01:03:20.789125,"(1141, 318)"
2023-06-24 01:03:20.794138,"(1164, 315)"
2023-06-24 01:03:20.804127,"(1184, 312)"
2023-06-24 01:03:20.813126,"(1207, 309)"
2023-06-24 01:03:20.821129,"(1244, 304)"
2023-06-24 01:03:20.826135,"(1267, 301)"
2023-06-24 01:03:20.835125,"(1293, 298)"
2023-06-24 01:03:20.842125,"(1330, 293)"
2023-06-24 01:03:20.851126,"(1355, 290)"
2023-06-24 01:03:20.865127,"(1367, 287)"
Date/Time,Mouse Position
2023-06-24 01:09:51.347556,"(455, 427)"
2023-06-24 01:09:51.379595,"(440, 428)"
2023-06-24 01:09:51.411063,"(411, 432)"
2023-06-24 01:09:51.440205,"(392, 435)"
2023-06-24 01:09:51.470215,"(386, 436)"
2023-06-24 01:09:51.532235,"(393, 439)"
2023-06-24 01:09:51.563235,"(417, 444)"
2023-06-24 01:09:51.595275,"(453, 449)"
2023-06-24 01:09:51.626235,"(500, 453)"
2023-06-24 01:09:51.655756,"(538, 453)"
2023-06-24 01:09:51.687861,"(574, 453)"
2023-06-24 01:09:51.718866,"(607, 453)"
2023-06-24 01:09:51.748860,"(672, 454)"
2023-06-24 01:09:51.780902,"(862, 497)"
2023-06-24 01:09:51.813862,"(1169, 575)"
2023-06-24 01:09:51.905492,"(1367, 789)"
2023-06-24 01:09:52.466275,"(1202, 575)"
2023-06-24 01:09:52.530940,"(1191, 579)"
2023-06-24 01:09:59.054593,"(1192, 579)"
2023-06-24 01:09:59.132594,"(1367, 538)"
2023-06-24 01:09:59.229111,"(1362, 256)"
2023-06-24 01:09:59.277807,"(1053, 193)"
2023-06-24 01:09:59.317316,"(995, 190)"
2023-06-24 01:09:59.355320,"(1023, 197)"
2023-06-24 01:09:59.391827,"(1111, 225)"
2023-06-24 01:09:59.429818,"(1212, 271)"
2023-06-24 01:09:59.468867,"(1285, 372)"
2023-06-24 01:09:59.507943,"(1284, 486)"
2023-06-24 01:09:59.547475,"(1217, 553)"
2023-06-24 01:09:59.586492,"(1151, 584)"
2023-06-24 01:09:59.623715,"(1103, 595)"
2023-06-24 01:09:59.659581,"(1091, 601)"
2023-06-24 01:09:59.735584,"(1096, 617)"
2023-06-24 01:09:59.772890,"(1131, 669)"
2023-06-24 01:09:59.806879,"(1154, 694)"
2023-06-24 01:09:59.837441,"(1168, 710)"
2023-06-24 01:09:59.870426,"(1169, 712)"
2023-06-24 01:10:00.160742,"(1168, 714)"
2023-06-24 01:10:00.210781,"(1159, 717)"
2023-06-24 01:10:00.263862,"(1154, 721)"
2023-06-24 01:10:00.393988,"(1153, 721)"
2023-06-24 01:10:00.446987,"(1153, 720)"
2023-06-24 01:10:00.872702,"(1155, 716)"
2023-06-24 01:10:00.906236,"(1183, 703)"
2023-06-24 01:10:00.940973,"(1283, 696)"
2023-06-24 01:10:01.029523,"(1367, 789)"
2023-06-24 01:10:38.164412,"(912, 298)"
2023-06-24 01:10:38.210012,"(689, 297)"
2023-06-24 01:10:38.252008,"(680, 294)"
2023-06-24 01:10:38.348525,"(665, 288)"
2023-06-24 01:10:38.404049,"(617, 262)"
2023-06-24 01:10:38.453658,"(614, 217)"
2023-06-24 01:10:38.495656,"(623, 160)"
2023-06-24 01:10:38.540656,"(640, 109)"
2023-06-24 01:10:38.578658,"(649, 86)"
2023-06-24 01:10:38.631701,"(650, 84)"
2023-06-24 01:10:39.146826,"(651, 84)"
2023-06-24 01:10:39.214123,"(652, 84)"
2023-06-24 01:10:39.314126,"(653, 85)"
2023-06-24 01:10:39.449126,"(654, 85)"
2023-06-24 01:10:39.498651,"(655, 85)"
2023-06-24 01:10:39.514650,"(656, 85)"
2023-06-24 01:10:39.618268,"(657, 86)"
2023-06-24 01:10:40.079170,"(658, 86)"
2023-06-24 01:10:40.139753,"(659, 87)"
2023-06-24 01:10:40.165799,"(661, 88)"
2023-06-24 01:10:40.194472,"(666, 90)"
2023-06-24 01:10:40.221482,"(672, 93)"
2023-06-24 01:10:40.248476,"(679, 96)"
2023-06-24 01:10:40.279091,"(705, 106)"
2023-06-24 01:10:40.306055,"(826, 148)"
2023-06-24 01:10:40.333709,"(1007, 195)"
2023-06-24 01:10:40.361712,"(1367, 284)"
Date/Time,Mouse Position
2023-06-24 01:12:23.781673,"(321, 430)"
2023-06-24 01:12:23.809627,"(368, 436)"
2023-06-24 01:12:23.836627,"(491, 455)"
2023-06-24 01:12:23.863674,"(682, 479)"
2023-06-24 01:12:23.891595,"(978, 517)"
2023-06-24 01:12:23.918617,"(1215, 552)"
2023-06-24 01:12:23.996220,"(1367, 789)"
Date/Time,Mouse Position
2023-06-24 01:14:27.382595,"(355, 459)"
2023-06-24 01:14:27.409599,"(357, 458)"
2023-06-24 01:14:27.434171,"(358, 457)"
2023-06-24 01:14:27.460255,"(359, 457)"
2023-06-24 01:14:27.487258,"(361, 457)"
2023-06-24 01:14:27.512308,"(364, 456)"
2023-06-24 01:14:27.537255,"(377, 449)"
2023-06-24 01:14:27.562848,"(396, 436)"
2023-06-24 01:14:27.587848,"(429, 415)"
2023-06-24 01:14:27.613900,"(486, 388)"
2023-06-24 01:14:27.640406,"(551, 361)"
2023-06-24 01:14:27.664866,"(598, 338)"
2023-06-24 01:14:27.690419,"(615, 328)"
2023-06-24 01:14:27.715469,"(619, 322)"
2023-06-24 01:14:27.741483,"(620, 322)"
2023-06-24 01:14:28.222763,"(613, 322)"
2023-06-24 01:14:28.248663,"(545, 323)"
2023-06-24 01:14:28.273742,"(516, 330)"
2023-06-24 01:14:28.298844,"(516, 331)"
2023-06-24 01:14:30.646616,"(517, 332)"
2023-06-24 01:14:30.769578,"(588, 287)"
2023-06-24 01:14:30.794627,"(940, 159)"
2023-06-24 01:14:30.818676,"(1311, 163)"
2023-06-24 01:14:30.869921,"(1367, 396)"
Date/Time,Mouse Position
2023-06-24 01:20:38.891810,"(390, 448)"
2023-06-24 01:20:38.917807,"(392, 447)"
2023-06-24 01:20:38.942305,"(396, 445)"
2023-06-24 01:20:38.970305,"(408, 441)"
2023-06-24 01:20:38.995464,"(432, 437)"
2023-06-24 01:20:39.022024,"(471, 433)"
2023-06-24 01:20:39.046972,"(524, 430)"
2023-06-24 01:20:39.074038,"(586, 425)"
2023-06-24 01:20:39.101040,"(608, 421)"
2023-06-24 01:20:39.126085,"(613, 421)"
2023-06-24 01:20:39.304039,"(616, 420)"
2023-06-24 01:20:39.329090,"(625, 420)"
2023-06-24 01:20:39.358036,"(635, 421)"
2023-06-24 01:20:39.384041,"(640, 420)"
2023-06-24 01:20:39.409035,"(641, 420)"
2023-06-24 01:20:39.459036,"(643, 421)"
2023-06-24 01:20:39.486038,"(644, 421)"
2023-06-24 01:20:39.512036,"(645, 421)"
2023-06-24 01:20:39.538629,"(646, 421)"
2023-06-24 01:20:39.767131,"(650, 422)"
2023-06-24 01:20:39.791152,"(662, 424)"
2023-06-24 01:20:39.819153,"(698, 430)"
2023-06-24 01:20:39.844152,"(733, 436)"
2023-06-24 01:20:39.871152,"(760, 442)"
2023-06-24 01:20:39.895179,"(772, 444)"
2023-06-24 01:20:39.922183,"(775, 445)"
2023-06-24 01:20:41.172222,"(776, 445)"
2023-06-24 01:20:41.196842,"(779, 445)"
2023-06-24 01:20:41.222842,"(794, 447)"
2023-06-24 01:20:41.250576,"(865, 458)"
2023-06-24 01:20:41.277564,"(1051, 490)"
2023-06-24 01:20:41.303581,"(1328, 526)"
2023-06-24 01:20:41.375542,"(1367, 781)"
Date/Time,Mouse Position
2023-06-24 01:23:09.028866,"(303, 448)"
2023-06-24 01:23:09.054863,"(305, 448)"
2023-06-24 01:23:09.081913,"(309, 448)"
