Time,Mouse Position
2023-05-20 06:51:24.520063,"(497, 234)"
2023-05-20 06:51:27.600552,"(318, 456)"
2023-05-20 06:51:28.641712,"(1225, 611)"
2023-05-20 06:51:29.111368,"(1167, 729)"
Time,Mouse Position
2023-05-20 06:53:33.394936,"(293, 273)"
2023-05-20 06:53:36.055748,"(368, 461)"
2023-05-20 06:53:37.002227,"(1148, 734)"
2023-05-20 06:53:38.920799,"(1144, 734)"
2023-05-20 06:53:39.758485,"(1142, 736)"
2023-05-20 06:53:40.564845,"(1142, 736)"
2023-05-20 06:53:41.469109,"(1142, 736)"
2023-05-20 06:53:42.258239,"(1142, 737)"
2023-05-20 06:53:42.965332,"(1142, 737)"
2023-05-20 06:53:43.758212,"(1142, 737)"
2023-05-20 06:53:45.224041,"(1216, 603)"
2023-05-20 06:53:45.852049,"(1179, 722)"
Time,Mouse Position
2023-05-20 07:28:35.906642,"(288, 257)"
2023-05-20 07:28:39.387686,"(338, 444)"
2023-05-20 07:28:41.197215,"(1149, 717)"
2023-05-20 07:29:53.830217,"(1160, 714)"
Time,Mouse Position
2023-05-20 07:31:29.350968,"(386, 260)"
2023-05-20 07:31:30.217076,"(1153, 724)"
2023-05-20 07:31:32.421533,"(316, 456)"
2023-05-20 07:31:37.150241,"(1189, 117)"
2023-05-20 07:31:37.753833,"(1193, 122)"
2023-05-20 07:31:39.972943,"(1190, 483)"
2023-05-20 07:31:40.680165,"(1192, 485)"
2023-05-20 07:31:42.831193,"(1200, 608)"
2023-05-20 07:31:43.136415,"(1201, 608)"
2023-05-20 07:31:44.330181,"(1194, 257)"
2023-05-20 07:31:44.769042,"(1194, 257)"
2023-05-20 07:31:46.315868,"(1143, 725)"
Time,Mouse Position
2023-05-20 07:35:23.319269,"(456, 240)"
2023-05-20 07:35:26.197070,"(338, 479)"
2023-05-20 07:35:28.530575,"(1182, 719)"
Time,Mouse Position
2023-05-20 07:37:03.420457,"(456, 237)"
2023-05-20 07:37:06.104991,"(322, 449)"
2023-05-20 07:37:08.906180,"(1198, 130)"
2023-05-20 07:37:09.254214,"(1201, 130)"
2023-05-20 07:37:09.875770,"(1205, 245)"
2023-05-20 07:37:10.358482,"(1205, 245)"
2023-05-20 07:37:11.449472,"(900, 238)"
2023-05-20 07:37:12.177129,"(1206, 247)"
2023-05-20 07:37:13.448666,"(1199, 605)"
2023-05-20 07:37:13.739923,"(1199, 605)"
2023-05-20 07:37:16.666940,"(1185, 714)"
Time,Mouse Position
2023-05-20 07:38:25.232911,"(427, 256)"
2023-05-20 07:38:28.309700,"(392, 445)"
2023-05-20 07:38:29.895521,"(1162, 721)"
2023-05-20 07:38:32.112982,"(1202, 139)"
2023-05-20 07:38:32.477867,"(1206, 249)"
2023-05-20 07:38:33.021170,"(1205, 369)"
2023-05-20 07:38:33.382162,"(1198, 480)"
2023-05-20 07:38:33.781543,"(1207, 605)"
2023-05-20 07:38:34.391897,"(1187, 706)"
2023-05-20 07:43:51.796812,"(1198, 251)"
2023-05-20 07:43:52.022171,"(1198, 251)"
2023-05-20 07:43:52.314430,"(1198, 251)"
2023-05-20 07:43:54.534720,"(1189, 147)"
2023-05-20 07:43:55.802925,"(1196, 134)"
2023-05-20 07:43:58.003253,"(1190, 253)"
2023-05-20 07:44:00.485799,"(1206, 607)"
2023-05-20 07:44:00.800309,"(1206, 607)"
2023-05-20 07:44:01.753477,"(1143, 720)"
Time,Mouse Position
2023-05-20 07:47:24.068181,"(436, 225)"
2023-05-20 07:47:25.022334,"(1189, 732)"
2023-05-20 07:47:27.285972,"(473, 453)"
2023-05-20 07:47:29.619510,"(1175, 733)"
2023-05-20 07:47:33.665653,"(1128, 726)"
Time,Mouse Position
2023-05-20 07:49:24.191755,"(331, 230)"
2023-05-20 07:49:27.336997,"(303, 457)"
2023-05-20 07:49:31.256992,"(1199, 136)"
2023-05-20 07:49:31.658190,"(1198, 136)"
2023-05-20 07:49:33.195446,"(1201, 481)"
2023-05-20 07:49:34.005864,"(1201, 482)"
2023-05-20 07:49:37.922798,"(1202, 254)"
2023-05-20 07:49:38.270611,"(1202, 254)"
2023-05-20 07:49:39.785549,"(1178, 709)"
Time,Mouse Position
2023-05-20 13:57:10.762112,"(299, 226)"
2023-05-20 13:57:14.090332,"(406, 458)"
2023-05-20 13:57:15.453056,"(1192, 725)"
2023-05-20 13:58:06.725180,"(1140, 727)"
2023-05-20 14:03:12.799021,"(1190, 251)"
2023-05-20 14:03:13.308670,"(1192, 253)"
2023-05-20 14:03:14.640062,"(1192, 252)"
2023-05-20 14:03:15.318449,"(1197, 259)"
2023-05-20 14:03:16.567008,"(1193, 128)"
2023-05-20 14:03:18.656862,"(1150, 713)"
Time,Mouse Position
2023-05-20 21:33:00.103132,"(375, 255)"
2023-05-20 21:33:03.483013,"(361, 451)"
2023-05-20 21:33:07.116135,"(1212, 129)"
2023-05-20 21:33:07.446538,"(1204, 133)"
2023-05-20 21:33:10.019849,"(1142, 719)"
Time,Mouse Position
2023-05-20 21:43:13.219718,"(494, 236)"
2023-05-20 21:43:15.721886,"(396, 431)"
2023-05-20 21:43:18.837080,"(1189, 137)"
2023-05-20 21:43:19.211080,"(1189, 137)"
2023-05-20 21:43:20.905517,"(1213, 506)"
2023-05-20 21:43:21.387356,"(1209, 505)"
2023-05-20 21:43:22.969622,"(1188, 257)"
2023-05-20 21:43:23.409222,"(1188, 257)"
2023-05-20 21:43:25.999445,"(1184, 617)"
2023-05-20 21:43:26.387668,"(1184, 616)"
2023-05-20 21:43:29.317070,"(1134, 724)"
Time,Mouse Position
2023-05-20 21:46:02.796479,"(428, 235)"
2023-05-20 21:46:05.096119,"(354, 450)"
2023-05-20 21:46:06.744159,"(1209, 163)"
2023-05-20 21:46:14.953957,"(1207, 147)"
2023-05-20 21:46:16.362234,"(1195, 257)"
2023-05-20 21:46:17.115955,"(1196, 257)"
2023-05-20 21:46:22.074646,"(1198, 498)"
2023-05-20 21:46:22.490167,"(1202, 490)"
2023-05-20 21:46:23.281968,"(1205, 594)"
2023-05-20 21:46:23.687767,"(1205, 593)"
2023-05-20 21:46:24.865984,"(1161, 718)"
Time,Mouse Position
2023-05-20 21:51:33.853719,"(366, 235)"
2023-05-20 21:51:45.578307,"(438, 253)"
2023-05-20 21:51:50.207215,"(404, 460)"
2023-05-20 21:51:52.053701,"(1188, 119)"
2023-05-20 21:51:54.565667,"(1187, 120)"
2023-05-20 21:51:57.183857,"(1195, 254)"
2023-05-20 21:51:57.457128,"(1195, 254)"
2023-05-20 21:51:59.002334,"(1195, 495)"
2023-05-20 21:51:59.843319,"(1198, 494)"
2023-05-20 21:52:00.488004,"(1216, 617)"
2023-05-20 21:52:00.808151,"(1216, 617)"
2023-05-20 21:52:01.829169,"(1189, 713)"
Time,Mouse Position
2023-05-20 21:59:36.206177,"(381, 216)"
2023-05-20 21:59:39.830978,"(437, 442)"
2023-05-20 21:59:42.871240,"(1206, 137)"
2023-05-20 21:59:43.102096,"(1206, 137)"
2023-05-20 21:59:43.744375,"(1208, 245)"
2023-05-20 21:59:44.152942,"(1208, 245)"
2023-05-20 21:59:45.007490,"(1196, 471)"
2023-05-20 21:59:45.311883,"(1197, 478)"
2023-05-20 21:59:45.991363,"(1197, 629)"
2023-05-20 21:59:46.222651,"(1197, 629)"
2023-05-20 21:59:46.793868,"(1179, 723)"
2023-05-20 22:00:29.709053,"(1170, 725)"
Time,Mouse Position
2023-05-20 22:02:50.596854,"(394, 247)"
2023-05-20 22:02:52.837085,"(361, 445)"
2023-05-20 22:02:54.010502,"(1182, 131)"
2023-05-20 22:02:54.200195,"(1184, 130)"
2023-05-20 22:02:54.545311,"(1189, 245)"
2023-05-20 22:02:54.758708,"(1189, 245)"
2023-05-20 22:02:55.317319,"(1183, 475)"
2023-05-20 22:02:55.557723,"(1184, 475)"
2023-05-20 22:02:55.993537,"(1199, 609)"
2023-05-20 22:02:56.181030,"(1199, 609)"
2023-05-20 22:02:57.926305,"(1178, 726)"
2023-05-20 22:03:03.625290,"(1181, 725)"
2023-05-20 22:03:12.484228,"(1164, 725)"
